,Name,Edges,Type,Relationship,Collection
832,Riley,"[""Khoury's father"", 'Ash Ketchum']",Recurring,Other,Diamond and pearl
833,Riley's Lucario,"['Khoury', 'Ash Ketchum', ""Dawn's Cyndaquil"", ""Ash's Pikachu"", ""Dawn's Piplup"", ""Lyra's Marill"", ""Ash's Totodile""]",Recurring,Pokémon,Diamond and pearl
834,Charon,"['Khoury', 'Ash Ketchum', ""Dawn's Piplup""]",Recurring,Galactic,Diamond and pearl
835,Ursula,"['Khoury', ""Khoury's Totodile"", 'Zoey', 'Ursula', ""Dawn's Buneary"", 'Jessie', ""Jessie's Seviper"", ""James's Carnivine"", 'Johanna', ""Johanna's Glameow"", 'Professor Rowan', 'Shinko', ""Ash's Pikachu"", ""Dawn's Piplup""]",Recurring,Rival,Diamond and pearl
836,Ursula's Gabite,"['Ash Ketchum', ""Lyra's Marill""]",Recurring,Pokémon,Diamond and pearl
837,Poacher,[],One-timer,Other,Diamond and pearl
838,Christopher,['Ash Ketchum'],Recurring,Team Rocket,Diamond and pearl
839,Steveland,"['Rhyanna', 'Ash Ketchum', ""Ash's Pikachu""]",One-timer,Other,Diamond and pearl
840,Provo,"[""Ash's Pikachu"", ""Dawn's Piplup""]",One-timer,Other,Diamond and pearl
841,Taylor,"['James', 'Jessebelle', ""James's parents""]",One-timer,Other,Diamond and pearl
842,Teacher,"['Ash Ketchum', 'Paul']",One-timer,Other,Diamond and pearl
843,O,"['McCann', 'Ash Ketchum']",One-timer,Other,Diamond and pearl
844,Halverson,"['Zoey', ""Zoey's Glameow""]",One-timer,Other,Diamond and pearl
845,Wilkinson,"['Ash Ketchum', ""Ash's Gible""]",One-timer,Other,Diamond and pearl
846,Theodore,"['Ash Ketchum', 'Wilma', ""Dawn's Piplup"", ""Dawn's Togekiss"", ""Barry's Empoleon"", 'Volkner', 'Conway', ""Ash's Noctowl"", ""Ash's Heracross"", ""Ash's Torkoal""]",One-timer,Other,Diamond and pearl
847,Marilyn,['Ash Ketchum'],One-timer,Other,Diamond and pearl
848,Candice,"[""Ash's Gible"", 'Ash Ketchum']",Recurring,gym leader,Diamond and pearl
849,Jeremiah,"['Ash Ketchum', ""Ash's Pikachu""]",Recurring,Other,Diamond and pearl
850,Mr. Honcho,"['Volkner', 'Buck', ""Flint's Infernape"", 'Lucian', 'Officer Jenny', 'Ash Ketchum', 'Proprietor', ""Ash's Pikachu"", 'Jasmine', 'Cynthia', ""Cynthia's Garchomp""]",Recurring,Other,Diamond and pearl
851,Maria,"['Volkner', 'Pokémon poacher', 'Proprietor', ""Ash's Pikachu"", ""Jasmine's Steelix"", ""Cynthia's Garchomp"", 'Bertha']",Recurring,Other,Diamond and pearl
852,Ampharos Train crew,"['Pokémon poacher', 'Proprietor', 'Palmer', 'Ash Ketchum', 'Paul', 'Nurse Joy', ""Ash's Pikachu"", ""Ash's Gengar"", 'Candice', 'Maylene', 'Byron', 'Professor Rowan', 'Roark', 'Jupiter', 'Buck', 'Charon']",One-timer,Other,Diamond and pearl
853,Looker,"['Pokémon poacher', 'Volkner', 'Ash Ketchum']",Recurring,Other,Diamond and pearl
854,Olivier,"['Johanna', 'Ash Ketchum', ""Dawn's Piplup"", ""Dawn's Buneary""]",Recurring,Other,Diamond and pearl
855,Uxie,"[""Brock's Happiny"", 'Ash Ketchum', 'Buck', 'Palmer', 'Charon', 'Jupiter', 'Mars', 'Saturn']",Recurring,Pokémon,Diamond and pearl
856,Verona,"['Bertha', 'Ash Ketchum', ""Ash's Pikachu""]",One-timer,Other,Diamond and pearl
857,Azure,"['Lucian', 'Cynthia', 'Officer Jenny', 'Ash Ketchum', 'Roland', 'Charon']",One-timer,Other,Diamond and pearl
858,Crimson,"['Princess Salvia', 'Ash Ketchum', ""Brock's Croagunk"", 'Zoey']",One-timer,Other,Diamond and pearl
859,Lulu,"[""Salvia's butler"", 'Freesia', 'Jessie', ""Jessie's Seviper"", 'Ash Ketchum']",One-timer,Other,Diamond and pearl
860,Noelle,['Princess Salvia'],One-timer,Other,Diamond and pearl
861,Izzy,"['Princess Salvia', 'Jessie', ""Dawn's Piplup"", ""Ash's Gible"", 'Zoey', 'Mamie', ""Ash's Pikachu"", 'Shinko', 'Ash Ketchum']",Recurring,Other,Diamond and pearl
862,Sayer,"['Jessie', 'James', 'Ash Ketchum', 'Crasher Wake', ""James's Carnivine""]",Recurring,Other,Diamond and pearl
863,Nathaniel,"['Volkner', 'Ash Ketchum', 'Looker', 'Marley', 'Charon']",One-timer,Other,Diamond and pearl
864,Goldeen Scoop Master,['Jessie'],One-timer,Other,Diamond and pearl
865,Lyra's Marill,"['Ash Ketchum', 'Conway', 'Charles Goodshow']",Recurring,Pokémon,Diamond and pearl
866,Lyra,"['Ash Ketchum', 'Nurse Joy', ""Brock's Happiny""]",Recurring,Other,Diamond and pearl
867,Khoury,"['Jessie', 'James', 'Nanu', 'Gozu', ""Ash's Pikachu"", 'Ash Ketchum', 'Professor Kukui', ""Professor Kukui's Incineroar"", 'Grandpa Forest', 'Goh', 'Officer Jenny', 'Chloe', 'Giovanni', 'Carl', 'Koga', 'Lt. Surge', 'Sabrina', 'Butch', 'Cassidy', 'Attila', 'Hun', 'Oakley', 'Domino', 'Iron-Masked Marauder', 'Dr. Namba', 'Professor Sebastian', 'Rocket Scout', 'Jubei', 'Pierce', 'Dr. Zager', 'Blaine']",Recurring,Other,Diamond and pearl
868,Khoury's Totodile,['Professor Rowan'],Recurring,Pokémon,Diamond and pearl
869,Khoury's father,"['Damon', 'Ash Ketchum', ""Ash's Pikachu"", 'N', 'Alder', 'Clay']",Recurring,Other,Diamond and pearl
870,Dawn's Cyndaquil,"['Ash Ketchum', 'Drayden', 'Martha', 'Officer Jenny', 'Shannon', ""Iris's Axew"", ""Cilan's Pansage"", ""Iris's Emolga"", ""Ash's Pikachu"", 'Emmy', 'Georgia', ""Georgia's Beartic"", 'Jimmy Ray', 'Stephan', ""Stephan's Sawk"", 'Luke', 'Brycen', ""Iris's Dragonite"", 'Clair', 'Mr. Briney', ""Iris's Gible"", 'Goh', ""Ash's Dragonite"", ""Ash's Dracovish"", ""Iris's Excadrill"", 'Trip', ""Ash's Oshawott"", ""Ash's Tepig"", 'Moira', 'Carlita']",Recurring,Pokémon,Diamond and pearl
871,Benjamin,"['Iris', 'Ash Ketchum', ""Ash's Oshawott"", ""Cilan's Pansage"", ""Ash's Scraggy"", 'Emmy', 'Georgia', ""Georgia's Beartic"", ""Ash's Pikachu"", 'Luke', ""Ash's Roggenrola"", 'Katharine', ""Ash's Snivy"", 'Lewis', ""Cilan's Stunfisk"", 'Dr. Zager', ""Cynthia's Garchomp"", 'Shannon', ""Iris's Excadrill"", ""Iris's Dragonite"", 'Teaque', ""James's Yamask"", ""Ash's Dracovish"", ""Ash's Dragonite"", ""Iris's Gible"", ""Ash's Tepig"", ""Iris's Emolga"", 'Drayden', ""Professor Oak's Rotom""]",One-timer,Other,Diamond and pearl
872,Mario,"['Bianca', 'Cheren', 'Ash Ketchum', 'Delia Ketchum', ""Ash's Pikachu"", 'Trip', ""Trip's Snivy"", ""Ash's Oshawott"", ""Ash's Pidove"", ""Ash's Sewaddle"", 'Fennel', 'Cedric Juniper', 'Nanette', 'James']",One-timer,Other,Diamond and pearl
873,Rhyanna,"['Ash Ketchum', 'Alder', 'Professor Juniper', ""Trip's Snivy"", ""Ash's Pikachu"", ""Ash's Oshawott"", ""Ash's Tepig"", ""Ash's Snivy"", ""Ash's Pidove"", 'Burgh', 'Don George', ""Cilan's Dwebble"", 'Burgundy', ""Ash's Scraggy"", 'Cynthia']",One-timer,Other,Diamond and pearl
874,Mitchell,"['Ash Ketchum', 'Professor Juniper', 'Trip', ""Ash's Pikachu"", ""Iris's Axew"", ""Jessie's Woobat"", ""Cilan's Pansage"", ""Ash's Pidove"", ""Ash's Snivy"", 'Lenora', ""Ash's Tepig"", ""Iris's Emolga"", ""Bianca's Minccino"", 'Stephan', ""Cilan's Dwebble"", ""Ash's Palpitoad"", ""Chili's Pansear"", ""Dawn's Buneary"", ""Dawn's Piplup"", 'Cheren', 'Barret', 'Cadbury', 'Goh', ""Ash's Aipom"", ""Ash's Scraggy"", 'Tatsuki']",One-timer,Other,Diamond and pearl
875,Professor Kodama,"['Trip', 'Professor Juniper', 'Ash Ketchum', ""Ash's Pikachu"", ""Chili's Pansear"", ""Ash's Snivy"", 'Burgundy', 'Manning', 'Alder']",One-timer,Other,Diamond and pearl
876,Sebastian,"['Jessie', 'Ash Ketchum', ""Ash's Pidove"", ""Ash's Pikachu"", ""Ash's Oshawott"", ""Iris's Axew"", ""James's Yamask"", ""Cilan's Dwebble"", 'Dr. Zager', ""Cilan's Pansage"", 'Aldith', ""James's Amoonguss"", 'James', 'Colress', ""Iris's Dragonite"", 'Rhoder']",One-timer,Other,Diamond and pearl
877,McCann,"['Ash Ketchum', ""Ash's Pikachu"", ""Iris's Axew"", ""Jessie's Woobat"", ""Ash's Snivy"", ""Ash's Oshawott"", ""Ash's Tepig"", 'Trip', 'Skyla', ""Skyla's Swanna"", 'Roxie', ""Iris's Dragonite"", ""Cameron's Riolu"", ""Ash's Scraggy"", ""Cilan's Pansage""]",One-timer,Other,Diamond and pearl
878,Maya,"['Ash Ketchum', 'Dan', ""Ash's Pikachu"", 'Sean', 'Skyla', 'Brycen', 'Pokémon poacher', 'Rizzo', ""Iris's Dragonite"", ""Ash's Oshawott"", 'Ridley', 'Stephan', ""Stephan's Sawk"", 'Colress', 'Ghetsis', 'Aldith', 'Barret', 'Looker', 'Goh', 'Cedric Juniper', 'Glenn']",One-timer,Other,Diamond and pearl
879,Rebecca,"['Ash Ketchum', 'Sunglasses Sandile', ""Ash's Pikachu"", ""Ash's Oshawott"", ""Dan's father""]",One-timer,Other,Diamond and pearl
880,Wilma,"['Dan', 'Ash Ketchum']",One-timer,Other,Diamond and pearl
881,Ash's Gible,"['Ash Ketchum', ""Ash's Tepig"", 'Nurse Joy', 'Officer Jenny', 'Porter', 'Trip', 'Lenora', ""Ash's Oshawott"", ""Freddy O'Martian"", 'Shamus']",Recurring,Pokémon,Diamond and pearl
882,Crispin,"['Ash Ketchum', 'Shamus', 'Don George', ""Ash's Pikachu"", 'Chili', ""Chili's Pansear"", ""Ash's Snivy"", 'Trip', ""Ash's Oshawott"", 'Lenora', 'Burgh', ""Ash's Roggenrola"", ""Iris's Axew"", ""Cilan's Pansage"", 'Ingo', 'Emmet', 'Brycen', 'Roxie', 'Barret', 'Rodney', 'Goh', 'Leeku']",One-timer,Other,Diamond and pearl
883,Clayton,"[""Ash's Tepig"", 'Kylan', 'Ash Ketchum', 'Don George', ""Ash's Snivy"", 'Paul']",One-timer,Other,Diamond and pearl
884,Daniel,"['Ash Ketchum', 'Chili', 'Cress', ""Cilan's Pansage"", ""Chili's Pansear"", ""Cress's Panpour"", ""Iris's Axew"", ""Ash's Pikachu"", ""Cilan's Dwebble"", 'Burgundy', 'Professor Icarus', ""Cilan's Stunfisk"", ""Ash's Oshawott"", 'Trip', 'Luke', 'Emmet', 'Ingo', 'Skyla', 'Flora', 'Stephan', 'Mr. Hatterly', 'Ricard Nouveau', 'Marigold', ""Dawn's Piplup"", 'Shepherd', 'Horatio', 'Mrs. Ripple', 'Teaque', 'Alexa', 'Morana', 'Mr. Briney', 'Pokémon poacher', 'Amer', ""Clemont's Chespin"", 'Max']",One-timer,Other,Diamond and pearl
885,Flint,"['Cilan', 'Cress', 'Ash Ketchum', ""Ash's Tepig"", 'Trip', 'Burgundy', ""Cilan's Pansage"", ""Ash's Oshawott"", 'Morana', ""Chili's Pansear""]",Recurring,Elite Four,Diamond and pearl
886,Flint's Infernape,"['Cilan', 'Chili', 'Ash Ketchum', ""Ash's Pikachu"", 'Burgundy', 'Morana', 'Professor Juniper', ""Chili's Pansear"", ""Cilan's Pansage""]",Recurring,Pokémon,Diamond and pearl
887,Volkner,"['Chili', 'Ash Ketchum', ""Ash's Tepig"", 'Burgundy', ""Cilan's Pansage"", 'Cress', ""Ash's Oshawott"", 'Morana', ""Cress's Panpour""]",Recurring,gym leader,Diamond and pearl
888,Proprietor,"['Cress', 'Ash Ketchum', ""Ash's Pikachu"", 'Morana', ""Cilan's Pansage"", ""Chili's Pansear""]",Recurring,Other,Diamond and pearl
889,Thomas,"['Ash Ketchum', ""Ash's Oshawott"", ""Iris's Axew"", ""Cilan's Dwebble"", 'Burgundy', 'Luke', ""Luke's Zorua"", ""Ash's Snivy"", 'Dr. Zager', ""Ash's Tepig"", 'Ingo', 'Emmet', 'Chili', ""Chili's Pansear"", 'Lewis', ""Ash's Roggenrola"", ""Iris's Emolga"", 'Skyla', 'Flora', ""Stephan's Sawk"", ""Dawn's Piplup"", 'Jervis', 'Shepherd', 'Ridley', 'Barret', 'Morana', ""Cress's Panpour"", 'Nurse Joy', ""Clemont's Chespin"", ""Bianca's Minccino"", 'Cilan', ""Ash's Pikachu"", ""Professor Oak's Rotom""]",One-timer,Other,Diamond and pearl
890,Marley,"['Professor Juniper', 'Professor Burnet', ""Fennel's Munna"", ""Iris's Axew"", 'Ash Ketchum', ""Ash's Pikachu"", 'Officer Jenny', 'Cedric Juniper']",One-timer,Other,Diamond and pearl
891,Roland,"['Fennel', 'Bianca', ""Iris's Axew"", 'Ash Ketchum', 'Officer Jenny', ""Ash's Pikachu""]",One-timer,Other,Diamond and pearl
892,Bertha,"['Nurse Joy', ""Nurse Joy's Wigglytuff""]",One-timer,Elite Four,Diamond and pearl
893,Freesia,"['Ash Ketchum', ""Ash's Pikachu"", ""Ash's Oshawott"", ""Ash's Tepig"", 'Trip', ""Iris's Emolga"", ""Iris's Axew"", 'Georgia', ""Iris's Excadrill"", ""Cilan's Pansage"", ""Cilan's Dwebble"", 'Dr. Zager', 'Elesa', 'Katharine', 'Clay', ""Clay's Excadrill"", 'Shamus', 'Moira', ""Jessie's Woobat"", ""James's Yamask"", ""Ash's Scraggy""]",Recurring,Other,Diamond and pearl
894,Princess Salvia,"[""Iris's Axew"", 'Drayden', ""Iris's Dragonite""]",Recurring,Other,Diamond and pearl
895,Salvia's butler,"['Drayden', 'Ash Ketchum', ""Iris's Axew"", ""Cilan's Pansage"", ""Ash's Snivy"", ""Ash's Pikachu"", ""Iris's Emolga"", ""Georgia's Beartic"", 'Dr. Zager', 'Burgundy', 'Montgomery']",One-timer,Other,Diamond and pearl
896,Dawn's Togekiss,"['Jessie', 'James', 'Officer Jenny', 'Dr. Zager', 'Giovanni', 'Carl', 'Koga', 'Lt. Surge', 'Sabrina', 'Butch', 'Cassidy', 'Attila', 'Hun', 'Oakley', 'Domino', 'Iron-Masked Marauder', 'Dr. Namba', 'Professor Sebastian', 'Rocket Scout', 'Jubei', 'Matori', 'Gozu', 'Blaine']",Recurring,Pokémon,Diamond and pearl
897,Narissa,"['Ash Ketchum', ""Ash's Pikachu"", ""Cilan's Pansage"", ""Ash's Pidove"", 'Burgundy', ""Ash's Oshawott"", 'Stephan', 'Trip', 'Don George', ""Ash's Snivy"", ""Jessie's Woobat"", ""Iris's Excadrill"", 'Professor Juniper', 'Skyla', ""Skyla's Swanna"", 'Ricard Nouveau', 'Marigold', 'Aldith', 'Colress', ""Iris's Dragonite"", 'Cedric Juniper', 'Ghetsis', 'Barret', 'Looker', 'Amer']",One-timer,Other,Diamond and pearl
898,Mamie,"['Karena', 'Sunglasses Sandile']",One-timer,Other,Diamond and pearl
899,Buck,"['Daniela', 'Ash Ketchum']",One-timer,Other,Diamond and pearl
900,Selma,"['Daniela', 'Ash Ketchum', ""Ash's Pikachu"", 'Sunglasses Sandile']",One-timer,Other,Diamond and pearl
901,Tobias,"['Ash Ketchum', 'Professor Juniper', ""Bianca's Minccino"", ""Ash's Oshawott"", ""Ash's Pikachu"", ""Iris's Axew"", ""Iris's Emolga"", ""Iris's Excadrill"", ""Cilan's Pansage"", ""Ash's Snivy"", ""Luke's Zorua"", 'Stephan', 'Elesa', ""Bianca's father"", 'Trip', 'Delbert', 'Georgia', 'Mikael', ""Cameron's Riolu""]",Recurring,Rival,Diamond and pearl
902,Normajean,"[""Bianca's Minccino"", 'Ash Ketchum', ""Ash's Pikachu"", ""Iris's Emolga"", ""Ash's Snivy"", ""Luke's Zorua"", 'Elesa', 'Trip', 'Georgia', ""Stephan's Sawk"", 'Mikael', ""Cameron's Riolu"", 'Cheren', 'Brycen', 'N']",One-timer,Other,Diamond and pearl
903,Matori,"['Ash Ketchum', ""Bianca's Pignite"", ""Ash's Oshawott"", ""Ash's Snivy"", ""Ash's Pikachu"", ""Iris's Emolga"", ""Cilan's Pansage"", 'Stephan', 'Elesa', ""Iris's Excadrill""]",Recurring,Team Rocket,Diamond and pearl
904,Shinko,"['Lenora', 'Ash Ketchum', 'Burgh', 'Brycen', 'Seven Sages', 'Ghetsis']",One-timer,Other,Diamond and pearl
905,Zekrom,"['Seven Sages', 'Cynthia', 'Ash Ketchum', ""Ash's Oshawott"", 'Clay', 'Skyla', 'Caitlin', 'Drayden']",Recurring,Pokémon,Black & White
906,Iris,"['Ash Ketchum', 'Karena', 'Daniela', ""Iris's Axew"", ""Ash's Pikachu"", ""Ash's Pidove"", ""Ash's Oshawott"", ""Ash's Tepig"", ""Ash's Snivy"", 'Katharine', 'Angus', 'Betty', 'Montgomery', ""Iris's Emolga"", 'Brycen', 'Professor Juniper', 'Carlita']",Main,Champion,Black & White
907,Iris's Axew,"['Pierce', 'Jessie', 'James', 'Dr. Namba', 'Butch', 'Cassidy', 'Fennel', 'Ingo', 'Emmet', ""Ash's Pikachu"", 'Ash Ketchum', 'Ferris', 'Lewis', 'Giovanni', 'Carl', 'Koga', 'Lt. Surge', 'Sabrina', 'Attila', 'Hun', 'Oakley', 'Domino', 'Iron-Masked Marauder', 'Professor Sebastian', 'Rocket Scout', 'Jubei', 'Matori', 'Gozu', 'Blaine']",Main,Pokémon,Black & White
908,Professor Juniper,"['Ash Ketchum', ""Ash's Pikachu"", 'Burgh', ""Iris's Axew"", 'Professor Juniper', 'Burgundy', ""Ash's Tepig"", ""Iris's Emolga"", ""Ash's Scraggy"", ""Ash's Oshawott"", ""Ash's Snivy"", 'Roxie', 'Marris', 'Stephan', ""Stephan's Sawk"", 'Luke']",Recurring,Pokémon,Black & White
909,Trip,"['Seven Sages', 'Ash Ketchum', ""Ash's Sewaddle"", 'Mayor of Castelia City', ""Nurse Joy's Audino"", 'Trip', 'Professor Juniper', ""Ash's Pikachu"", 'Iris', 'Caitlin']",Recurring,Rival,Black & White
910,Ash's Oshawott,"[""Cilan's Pansage"", 'Chili', 'Cress', 'Ash Ketchum', ""Ash's Pikachu"", ""Ash's Sewaddle"", ""Cilan's Dwebble"", ""Ash's Palpitoad"", 'Stephan', 'Mr. Hatterly', 'Marigold', 'Ricard Nouveau', 'Trip', 'Georgia', ""Ash's Tepig"", ""Iris's Excadrill""]",Recurring,Pokémon,Black & White
911,Trip's Snivy,['Ash Ketchum'],Recurring,Pokémon,Black & White
912,Jessie's Woobat,"['Sally', 'Ash Ketchum']",Recurring,Pokémon,Black & White
913,Ash's Pidove,"['Trip', 'Ash Ketchum', 'Burgh', 'Professor Juniper']",Recurring,Pokémon,Black & White
914,Sunglasses Sandile,"['James', 'Jessie', ""Jessie's Woobat"", ""Ash's Oshawott"", ""Ash's Pikachu"", ""Cilan's Dwebble"", 'Dr. Zager', 'Ferris', 'Ash Ketchum', ""Cilan's Pansage"", 'Ridley', ""Iris's Axew"", 'Alexa', ""James's Victreebel"", ""James's Cacnea"", ""James's Carnivine"", ""Jessie's Seviper""]",Recurring,Pokémon,Black & White
915,Dan,"[""Iris's Axew"", 'Ash Ketchum', ""Ash's Pikachu"", ""Bianca's Minccino"", ""Iris's Excadrill"", ""Cilan's Pansage"", ""Ash's Snivy"", ""Cilan's Stunfisk"", 'Jimmy Ray', 'Stephan', ""Stephan's Sawk"", 'Dr. Zager', ""Ash's Roggenrola"", ""Ash's Scraggy"", ""Ash's Oshawott"", ""Jessie's Woobat"", ""James's Yamask"", ""Jessie's Frillish"", ""James's Amoonguss"", ""Iris's Dragonite"", 'Goh']",One-timer,Other,Black & White
916,Dan's father,"['Ash Ketchum', ""Ash's Tepig"", ""Iris's Axew""]",One-timer,Other,Black & White
917,Don George,"['Ash Ketchum', ""Ash's Pikachu"", ""Ash's Oshawott"", ""Bianca's Minccino"", ""Iris's Emolga"", ""Stephan's Sawk"", 'Burgundy', 'Nurse Joy', 'Ricky', 'Edmund', 'Montgomery', ""Ash's Scraggy"", ""Cilan's Pansage"", 'Radley', 'Butch', ""Ash's Palpitoad""]",Recurring,Other,Black & White
918,Ash's Tepig,['Ash Ketchum'],Recurring,Pokémon,Black & White
919,Shamus,"['Cheren', 'N', 'Ghetsis', 'Iris', 'Trip', 'Ash Ketchum', ""Ash's Pikachu"", 'Officer Jenny', ""Freddy O'Martian"", 'Caitlin', 'Nurse Joy', 'Marlon']",Recurring,Other,Black & White
920,Cilan,"['Ash Ketchum', ""Ash's Oshawott"", ""Ash's Scraggy"", ""Cilan's Stunfisk"", 'Burgundy', 'Dino', 'Roxie', 'Stephan', 'Professor Juniper', 'Elesa']",Main,gym leader,Black & White
921,Chili,"[""Ash's Palpitoad"", 'Ash Ketchum', ""Ash's Oshawott"", 'Luke', ""Iris's Axew"", ""Ash's Pikachu"", 'Skyla', ""Skyla's Swanna"", 'Horatio', ""Iris's Excadrill"", 'Ayumi', ""Iris's Emolga""]",Recurring,gym leader,Black & White
922,Cress,"[""Iris's Axew"", ""Georgia's Beartic"", ""Iris's Excadrill"", 'Ash Ketchum', ""Ash's Snivy"", 'Gail', ""Iris's Dragonite"", 'Burgundy', ""Luke's Zorua"", 'Montgomery']",Recurring,gym leader,Black & White
923,Chili's Pansear,"['Georgia', ""Iris's Axew"", ""Iris's Excadrill"", ""Iris's Dragonite""]",Recurring,Pokémon,Black & White
924,Cress's Panpour,"['Iris', 'Seven Sages', 'Cheren', ""Iris's Excadrill"", 'Goh', 'Colress', 'Brycen']",Recurring,Pokémon,Black & White
925,Cilan's Pansage,"['Ash Ketchum', ""Ash's Oshawott"", ""Ash's Tepig"", ""Iris's Axew"", 'Dr. Zager', ""Iris's Emolga"", ""Cilan's Pansage"", ""Clay's Excadrill"", 'Professor Juniper', 'Roxie', 'Geraldo', 'Clay']",Recurring,Pokémon,Black & White
926,Fennel,"['Ash Ketchum', ""Ash's Roggenrola""]",Recurring,Pokémon,Black & White
927,Fennel's Munna,"['Christie', 'Ash Ketchum', 'Officer Jenny', ""Jessie's Woobat"", ""James's Yamask"", ""Ash's Roggenrola""]",Recurring,Pokémon,Black & White
928,Nurse Joy's Audino,"['Officer Jenny', 'Doyle', 'Ash Ketchum', ""Jessie's Woobat"", ""Ash's Roggenrola""]",Recurring,Pokémon,Black & White
929,Ash's Snivy,"['Officer Jenny', 'Christie']",Recurring,Pokémon,Black & White
930,Elder,"['Mr. Matthews', ""Luke's Zorua"", 'Ash Ketchum', 'Don George', 'Scooter', ""Cilan's Stunfisk"", ""Iris's Axew"", 'Mr. Gold', ""Ash's Pikachu""]",Recurring,Other,Black & White
931,Iris's Excadrill,"['Luke', 'Mr. Matthews', 'Ash Ketchum', ""Ash's Pikachu"", ""Iris's Axew"", 'Georgia']",Recurring,Pokémon,Black & White
932,Pierce,"['Luke', ""Luke's Zorua"", 'Ash Ketchum']",Recurring,Team Rocket,Black & White
933,Cilan's Dwebble,"['Emmanuel', 'Dino', 'Ramone']",Recurring,Pokémon,Black & White
934,Daniela,['Antonio'],One-timer,Other,Black & White
935,Karena,['Dino'],One-timer,Other,Black & White
936,Avery,"['Antonio', 'Ash Ketchum', ""Ash's Palpitoad"", 'Katharine', 'Ramone', 'Virgil']",One-timer,Other,Black & White
937,Bianca,['Georgia'],Recurring,Rival,Black & White
938,Bianca's Pignite,['Luke'],Recurring,Pokémon,Black & White
939,Bianca's Minccino,[],Recurring,Pokémon,Black & White
940,Hawes,"['Don George', 'Alder']",Recurring,Other,Black & White
941,Lenora,"['Stephan', ""Iris's Emolga"", ""Nurse Joy's Audino"", 'Edmund', 'Montgomery', 'Ash Ketchum', ""Ash's Scraggy"", ""Cilan's Pansage""]",Recurring,gym leader,Black & White
942,Ash's Scraggy,"['Ash Ketchum', ""Ash's Oshawott""]",Recurring,Pokémon,Black & White
943,Dr. Zager,"['Officer Jenny', 'Ash Ketchum', ""Ash's Pikachu"", ""Iris's Axew""]",Recurring,Team Rocket,Black & White
944,Ash's Sewaddle,"['Emmet', 'Jessie', 'James', 'Ash Ketchum', 'Erina', ""Cilan's Pansage""]",Recurring,Pokémon,Black & White
945,Burgh,"['Ingo', 'Jessie', 'James', 'Ash Ketchum', 'Erina', ""Cilan's Pansage"", ""Ash's Tepig""]",Recurring,gym leader,Black & White
946,Burgundy,"['Ash Ketchum', ""Ash's Pikachu"", ""Ash's Oshawott"", ""Ash's Tepig"", ""Iris's Axew""]",Recurring,Rival,Black & White
947,Sally,"['Bianca', 'Seven Sages', 'Cynthia', 'Skyla', 'Ash Ketchum', ""Ash's Pikachu"", ""Bianca's father"", ""Ash's Palpitoad"", 'Caitlin', 'Drayden']",One-timer,Other,Black & White
948,Captain,"['Bianca', 'Cheren', 'Elesa', 'Ash Ketchum', 'Professor Juniper']",One-timer,Other,Black & White
949,Mayor of Castelia City,"['Ash Ketchum', 'Emmet', 'Ingo']",One-timer,Other,Black & White
950,James's Yamask,['Ash Ketchum'],Recurring,Pokémon,Black & White
951,Iris's Emolga,"['Ash Ketchum', ""Ash's Pikachu"", ""Robert's grandfather"", 'Nurse Joy']",Recurring,Pokémon,Black & White
952,Emmy,['Ash Ketchum'],One-timer,Other,Black & White
953,Stephan,"['Ash Ketchum', ""Ash's Scraggy"", ""Ash's Tepig"", ""Ash's Pikachu"", ""Iris's Axew"", ""Ash's Snivy"", 'Dino', 'Elesa']",Recurring,Rival,Black & White
954,Professor Icarus,['Ash Ketchum'],One-timer,Other,Black & White
955,Alder,"['Seven Sages', 'Ghetsis', 'Cheren', 'Ash Ketchum', ""Ash's Snivy"", 'Iris', 'Lenora', 'Caitlin', 'Drayden']",Recurring,Champion,Black & White
956,Ash's Palpitoad,"['Ash Ketchum', 'Dr. Ferrara']",Recurring,Pokémon,Black & White
957,Cilan's Stunfisk,"['Charles', 'Dr. Ferrara', ""Dr. Ferrara's henchmen"", 'Ash Ketchum', 'Officer Jenny']",Recurring,Pokémon,Black & White
958,Georgia,"[""Dr. Ferrara's henchmen""]",Recurring,Rival,Black & White
959,Georgia's Beartic,"['Dr. Ferrara', 'Charles', 'Ash Ketchum', 'Officer Jenny']",Recurring,Pokémon,Black & White
960,Drayden,['Ash Ketchum'],Recurring,gym leader,Black & White
961,Ash's Roggenrola,"['Lewis', 'Ash Ketchum', ""Cilan's Pansage"", ""Ash's Pikachu"", ""Ash's Snivy"", ""Iris's Excadrill"", ""Cilan's Stunfisk"", 'Dr. Zager', ""Ash's Roggenrola"", ""Iris's Axew"", ""Iris's Emolga"", ""Iris's Dragonite"", ""Cynthia's Garchomp""]",Recurring,Pokémon,Black & White
962,Mr. Garrison,"['Lewis', 'Ash Ketchum', ""Cilan's Pansage"", ""Ash's Pikachu"", ""Ash's Snivy"", ""Iris's Excadrill"", ""Cilan's Stunfisk"", 'Dr. Zager', ""Ash's Roggenrola"", ""Iris's Axew"", ""Iris's Emolga"", ""Iris's Dragonite"", ""Cynthia's Garchomp""]",One-timer,Other,Black & White
